City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
78,kailua-kona,19.6406,-155.9956,24.22,70,40,4.02,US,2023-10-25
79,lepsy,46.235,78.9456,14.06,36,93,3.39,KZ,2023-10-25
80,petropavlovsk-kamchatsky,53.0452,158.6483,4.14,78,75,2.68,RU,2023-10-25
81,acarau,-2.8856,-40.12,31.24,54,40,7.81,BR,2023-10-25
82,bhag,29.0415,67.8239,29.22,22,0,1.17,PK,2023-10-25
83,pokhara,28.2333,83.9833,17.14,54,0,3.35,NP,2023-10-25
84,montepuez,-13.1256,38.9997,30.18,46,19,5.2,MZ,2023-10-25
85,palmer,42.1584,-72.3287,21.84,51,40,4.12,US,2023-10-25
86,whitehorse,60.7161,-135.0538,-4.57,63,100,2.57,CA,2023-10-25
87,bethel,41.3712,-73.414,21.31,55,0,1.54,US,2023-10-25
88,nuuk,64.1835,-51.7216,1.34,55,75,5.14,GL,2023-10-25
89,castelo do piaui,-5.3222,-41.5525,40.49,18,30,2.73,BR,2023-10-25
90,akureyri,65.6835,-18.0878,0.96,86,0,0.0,IS,2023-10-25
91,sanctuary point,-35.1114,150.629,14.3,85,99,3.68,AU,2023-10-25
92,sorsk,54.0033,90.2467,3.49,53,100,3.61,RU,2023-10-25
93,bamboo flat,11.7,92.7167,26.05,94,75,1.03,IN,2023-10-25
94,enewetak,11.3474,162.3373,28.22,79,100,6.66,MH,2023-10-25
95,verkhnevilyuysk,63.4453,120.3167,-6.8,93,73,3.11,RU,2023-10-25
96,puerto yuca,2.9383,-73.2083,28.95,80,88,1.73,CO,2023-10-25
97,st. john's,47.5649,-52.7093,12.93,70,75,9.77,CA,2023-10-25
98,ar rutbah,33.0381,40.2848,24.0,40,0,3.67,IQ,2023-10-25
99,glace bay,46.1969,-59.957,15.03,71,75,4.92,CA,2023-10-25
100,tekirova,36.5017,30.5272,23.88,65,95,1.27,TR,2023-10-25
101,kerikeri,-35.2268,173.9474,12.17,93,19,0.45,NZ,2023-10-25
102,papatowai,-46.5619,169.4708,13.25,79,100,4.54,NZ,2023-10-25
103,punta del este,-34.9667,-54.95,17.06,77,75,7.2,UY,2023-10-25
104,ribeira brava,32.65,-17.0667,26.51,75,40,3.07,PT,2023-10-25
105,invercargill,-46.4,168.35,11.12,95,93,2.68,NZ,2023-10-25
106,quellon,-43.1167,-73.6167,11.6,74,100,1.32,CL,2023-10-25
107,sabzevar,36.2126,57.6819,17.91,42,100,1.45,IR,2023-10-25
108,baiti,13.745,-14.7482,38.51,21,99,2.54,SN,2023-10-25
109,saipan,15.1355,145.701,27.39,94,20,2.57,MP,2023-10-25
110,montivilliers,49.5452,0.1877,14.43,77,75,8.75,FR,2023-10-25
111,ciudad madero,22.2667,-97.8333,28.36,94,75,5.27,MX,2023-10-25
112,tarifa,36.0139,-5.607,21.01,83,97,7.19,ES,2023-10-25
113,laojunmiao,39.8333,97.7333,7.06,30,0,1.74,CN,2023-10-25
114,sao miguel do araguaia,-13.275,-50.1628,38.3,26,39,3.64,BR,2023-10-25
115,tura,25.5198,90.2201,20.04,93,5,1.29,IN,2023-10-25
116,tazovsky,67.4667,78.7,-9.15,94,55,2.0,RU,2023-10-25
117,ulan bator,47.9077,106.8832,-6.93,63,0,1.0,MN,2023-10-25
118,georgetown,5.4112,100.3354,27.96,89,20,1.54,MY,2023-10-25
119,udachny,66.4167,112.4,-11.74,89,91,4.38,RU,2023-10-25
120,atafu village,-8.5421,-172.5159,27.95,79,51,5.63,TK,2023-10-25
121,balangir,20.7167,83.4833,21.8,62,2,0.39,IN,2023-10-25
122,badger,64.8,-147.5333,-8.34,90,0,2.06,US,2023-10-25
123,natal,-5.795,-35.2094,30.36,58,40,6.17,BR,2023-10-25
124,la passe,45.5549,-0.8967,16.13,92,100,5.95,FR,2023-10-25
125,formosa do rio preto,-11.0483,-45.1931,33.53,33,98,0.56,BR,2023-10-25
126,pisco,-13.7,-76.2167,20.03,83,100,3.09,PE,2023-10-25
127,vinales,22.6164,-83.7078,28.08,64,29,6.44,CU,2023-10-25
128,tevriz,57.509,72.4042,-0.4,98,100,3.6,RU,2023-10-25
129,island harbour,50.724,-1.2758,13.85,90,98,0.89,GB,2023-10-25
130,kruisfontein,-34.0033,24.7314,16.47,74,32,5.03,ZA,2023-10-25
131,wailua homesteads,22.0669,-159.378,21.24,83,0,3.09,US,2023-10-25
132,callao,-12.0667,-77.15,20.95,88,100,4.12,PE,2023-10-25
133,lebu,-37.6167,-73.65,12.81,66,0,9.3,CL,2023-10-25
134,bontang,0.1333,117.5,26.43,85,42,3.19,ID,2023-10-25
135,el granada,37.5027,-122.4694,16.06,82,40,8.23,US,2023-10-25
136,san luis del palmar,-27.5079,-58.5545,23.87,52,45,3.5,AR,2023-10-25
137,kiama,-34.6833,150.8667,14.44,86,76,1.34,AU,2023-10-25
138,port douglas,-16.4833,145.4667,22.58,79,23,2.17,AU,2023-10-25
139,jayapura,-2.5333,140.7,25.66,92,100,1.65,ID,2023-10-25
140,vadso,70.0744,29.7487,-2.91,80,20,3.09,NO,2023-10-25
141,utrik,11.2278,169.8474,27.37,76,75,5.01,MH,2023-10-25
142,naifaru,5.4444,73.3657,28.0,77,90,3.67,MV,2023-10-25
143,walvis bay,-22.9575,14.5053,16.72,78,30,2.6,NA,2023-10-25
144,miedzyzdroje,53.9292,14.451,11.23,93,100,2.56,PL,2023-10-25
145,obra,24.4167,82.9833,21.35,55,16,0.3,IN,2023-10-25
146,dudinka,69.4058,86.1778,-8.51,96,100,1.34,RU,2023-10-25
147,kodiak,57.79,-152.4072,-3.27,100,0,0.0,US,2023-10-25
148,san patricio,28.017,-97.5169,30.97,64,14,8.02,US,2023-10-25
149,broken hill,-31.95,141.4333,8.35,48,0,9.65,AU,2023-10-25
150,statesville,35.7826,-80.8873,21.92,42,0,1.54,US,2023-10-25
151,hamilton,39.1834,-84.5333,21.06,56,0,5.66,US,2023-10-25
152,wawarsing,41.759,-74.3574,23.67,52,74,2.55,US,2023-10-25
153,salalah,17.0151,54.0924,28.05,78,40,1.03,OM,2023-10-25
154,arraial do cabo,-22.9661,-42.0278,23.92,88,75,5.14,BR,2023-10-25
155,puerto ayora,-0.7393,-90.3518,25.98,93,90,3.13,EC,2023-10-25
156,nagqu,31.5,92.0,-4.05,89,100,3.36,CN,2023-10-25
157,jincheng,35.5022,112.8328,16.67,42,44,2.15,CN,2023-10-25
158,chita,52.0333,113.55,-11.06,73,13,1.0,RU,2023-10-25
159,avarua,-21.2078,-159.775,21.03,56,75,3.09,CK,2023-10-25
160,namsos,64.4662,11.4957,5.03,75,0,2.06,NO,2023-10-25
161,skovorodino,53.9833,123.9167,-1.11,66,100,5.67,RU,2023-10-25
162,port augusta,-32.5,137.7667,9.18,55,19,5.89,AU,2023-10-25
163,calabozo,8.9242,-67.4293,30.42,68,100,1.72,VE,2023-10-25
164,tongren,27.7172,109.1853,20.06,90,100,1.59,CN,2023-10-25
165,thompson,55.7435,-97.8558,-1.91,74,75,5.14,CA,2023-10-25
166,severo-yeniseyskiy,60.3725,93.0408,-1.35,94,100,2.24,RU,2023-10-25
167,cabo san lucas,22.8909,-109.9124,26.45,50,0,3.6,MX,2023-10-25
168,brisas de zicatela,15.8369,-97.0419,29.29,54,75,0.0,MX,2023-10-25
169,huron,41.1501,-82.5499,20.44,45,100,6.53,US,2023-10-25
170,yuzhno-kurilsk,44.0306,145.8556,12.99,87,3,1.66,RU,2023-10-25
171,suntar,62.1444,117.6319,-8.79,92,49,1.75,RU,2023-10-25
172,gretna,29.9147,-90.054,28.89,63,40,5.81,US,2023-10-25
173,zumaia,43.2947,-2.2534,20.74,66,100,7.8,ES,2023-10-25
174,east ballina,-28.8667,153.5833,21.39,86,19,7.55,AU,2023-10-25
175,talnakh,69.4865,88.3972,-8.57,95,100,1.23,RU,2023-10-25
176,la crosse,43.8014,-91.2396,16.87,93,100,3.09,US,2023-10-25
177,sligo,54.2697,-8.4694,11.96,71,0,3.6,IE,2023-10-25
178,isafjordur,66.0755,-23.124,2.02,93,40,2.06,IS,2023-10-25
179,tank,32.2217,70.3793,27.3,36,19,0.43,PK,2023-10-25
180,qaqortoq,60.7167,-46.0333,1.92,72,100,2.91,GL,2023-10-25
181,grantsville,40.5999,-112.4644,17.53,36,70,7.47,US,2023-10-25
182,kristiansund,63.1115,7.732,7.36,70,0,1.54,NO,2023-10-25
183,malvan,16.0667,73.4667,27.04,73,15,2.44,IN,2023-10-25
184,kazanskoye,55.6448,69.235,0.2,97,100,7.57,RU,2023-10-25
185,dryden,49.7833,-92.7503,3.16,81,100,2.57,CA,2023-10-25
186,port alfred,-33.5906,26.891,20.1,76,32,1.79,ZA,2023-10-25
187,kapuskasing,49.4169,-82.4331,3.0,93,100,2.06,CA,2023-10-25
188,albany,42.6001,-73.9662,22.12,57,89,0.89,US,2023-10-25
189,puerto aysen,-45.4,-72.7,11.24,82,100,2.4,CL,2023-10-25
190,northam,51.0333,-4.2167,12.59,87,100,2.89,GB,2023-10-25
191,lihue,21.9789,-159.3672,21.58,83,0,3.09,US,2023-10-25
192,punta arenas,-53.15,-70.9167,9.01,76,40,12.86,CL,2023-10-25
193,barra do corda,-5.5,-45.25,38.15,30,55,2.11,BR,2023-10-25
194,damavand,35.7178,52.065,13.8,42,100,1.68,IR,2023-10-25
195,zhangye,38.9342,100.4517,10.05,27,0,1.53,CN,2023-10-25
196,pionerskiy,54.9508,20.2275,7.86,91,100,11.11,RU,2023-10-25
197,puerto rico,-26.796,-55.024,29.84,44,23,1.84,AR,2023-10-25
198,madang,-5.2246,145.7966,24.75,93,100,0.14,PG,2023-10-25
199,mildura,-34.2,142.15,6.15,71,2,6.53,AU,2023-10-25
200,santa terezinha,-29.9002,-50.0904,21.22,60,51,4.22,BR,2023-10-25
201,yreka,41.7354,-122.6345,10.72,89,100,3.6,US,2023-10-25
202,jabor,5.921,169.6434,29.01,76,32,5.99,MH,2023-10-25
203,tionk essil,12.7856,-16.5217,31.03,45,100,1.47,SN,2023-10-25
204,malpica,43.3228,-8.8105,20.21,79,100,8.5,ES,2023-10-25
205,cheremushki,52.8356,91.3944,4.03,83,100,2.4,RU,2023-10-25
206,mandalgovi,45.7625,106.2708,4.84,36,12,3.69,MN,2023-10-25
207,okhotsk,59.3833,143.3,-10.8,82,5,5.21,RU,2023-10-25
208,korla,41.7597,86.1469,12.93,34,0,0.88,CN,2023-10-25
209,kindu,-2.95,25.95,27.27,67,99,0.2,CD,2023-10-25
210,taksimo,56.3444,114.8794,-7.5,67,52,1.42,RU,2023-10-25
211,balikpapan,-1.2675,116.8289,28.55,79,40,2.57,ID,2023-10-25
212,farafangana,-22.8167,47.8333,25.42,86,100,4.41,MG,2023-10-25
213,lagoa,39.05,-27.9833,19.14,92,100,7.5,PT,2023-10-25
214,howard springs,-12.497,131.047,27.95,86,5,2.2,AU,2023-10-25
215,jeddah,21.5169,39.2192,30.92,66,20,4.12,SA,2023-10-25
216,nemuro,43.3236,145.575,12.11,78,0,2.0,JP,2023-10-25
217,racine,42.7495,-88.0751,17.25,89,100,3.6,US,2023-10-25
218,keflavik,64.0049,-22.5624,9.24,81,75,6.17,IS,2023-10-25
219,namibe,-15.1961,12.1522,20.98,71,54,5.87,AO,2023-10-25
220,harper,4.375,-7.7169,26.55,77,97,2.46,LR,2023-10-25
221,capbreton,43.6422,-1.4282,19.95,98,100,3.02,FR,2023-10-25
222,cidreira,-30.1811,-50.2056,20.72,61,74,4.52,BR,2023-10-25
223,san pedro piedra gorda,22.45,-102.35,22.6,45,43,1.08,MX,2023-10-25
224,beau vallon,-20.4189,57.6953,26.23,78,40,2.06,MU,2023-10-25
225,medicine hat,50.0501,-110.6683,-8.97,83,100,0.0,CA,2023-10-25
226,shingu,33.7333,135.9833,13.94,86,1,2.89,JP,2023-10-25
227,tolanaro,-25.0319,46.9987,22.04,83,40,6.17,MG,2023-10-25
228,nha trang,12.25,109.1833,27.0,92,19,1.76,VN,2023-10-25
229,stanley,54.868,-1.6985,10.71,96,75,4.63,GB,2023-10-25
230,quepos,9.4236,-84.1652,26.9,84,100,3.53,CR,2023-10-25
231,itoman,26.1247,127.6694,24.01,75,40,2.57,JP,2023-10-25
232,hobyo,5.3505,48.5268,28.59,76,21,4.14,SO,2023-10-25
233,vilyuysk,63.7553,121.6247,-7.78,96,80,2.68,RU,2023-10-25
234,leava,-14.3,-178.1667,26.39,75,98,10.43,WF,2023-10-25
235,cabedelo,-6.9811,-34.8339,31.37,62,25,4.91,BR,2023-10-25
236,pacific grove,36.6177,-121.9166,15.29,80,40,2.68,US,2023-10-25
237,pamanukan,-6.2842,107.8106,27.81,74,17,0.91,ID,2023-10-25
238,kutum,14.2,24.6667,29.53,19,2,3.91,SD,2023-10-25
239,muroto-misakicho,33.2833,134.15,19.71,62,0,3.41,JP,2023-10-25
240,richards bay,-28.783,32.0377,20.19,75,0,2.66,ZA,2023-10-25
241,vylkove,45.4021,29.586,20.37,59,80,5.13,UA,2023-10-25
242,trenton,40.217,-74.7429,21.92,58,0,4.12,US,2023-10-25
243,baiyin,36.5583,104.2081,10.7,35,100,1.16,CN,2023-10-25
244,kapa'a,22.0752,-159.319,21.99,83,0,3.09,US,2023-10-25
245,hithadhoo,-0.6,73.0833,27.58,82,44,6.67,MV,2023-10-25
246,sydney mines,46.2367,-60.2177,15.14,73,75,4.63,CA,2023-10-25
247,tupiza,-21.45,-65.7167,23.01,13,100,1.99,BO,2023-10-25
248,sisimiut,66.9395,-53.6735,-1.92,67,100,4.54,GL,2023-10-25
249,saint-philippe,-21.3585,55.7679,25.77,83,41,2.71,RE,2023-10-25
250,kalabo,-14.97,22.6814,31.73,24,88,3.09,ZM,2023-10-25
251,murun-kuren,49.6342,100.1625,3.41,35,37,1.64,MN,2023-10-25
252,portland,45.5234,-122.6762,8.63,94,97,3.58,US,2023-10-25
253,sabang,5.8933,95.3214,27.45,76,94,2.48,ID,2023-10-25
254,lensk,60.7253,114.9278,-2.19,70,75,3.07,RU,2023-10-25
255,apia,-13.8333,-171.7667,23.95,75,66,9.81,WS,2023-10-25
256,lucapa,-8.4192,20.7447,26.9,61,91,1.27,AO,2023-10-25
257,fisterra,42.9049,-9.2629,19.86,90,100,9.56,ES,2023-10-25
258,margate,51.3813,1.3862,13.28,82,80,1.34,GB,2023-10-25
259,soure,-0.7167,-48.5233,30.17,59,37,5.52,BR,2023-10-25
260,broome,42.2506,-75.833,20.95,57,75,3.09,US,2023-10-25
261,praia da vitoria,38.7333,-27.0667,22.14,94,75,7.61,PT,2023-10-25
262,nelson bay,-32.7167,152.15,17.22,86,100,3.58,AU,2023-10-25
263,donaghadee,54.6333,-5.5333,10.84,82,94,0.45,GB,2023-10-25
264,hami,42.8,93.45,12.98,36,0,2.1,CN,2023-10-25
265,kapoeta,4.7717,33.5903,31.4,39,76,5.2,SS,2023-10-25
266,ulanhot,46.0833,122.0833,3.99,27,22,4.1,CN,2023-10-25
267,muang phonsavan,19.45,103.2167,16.93,99,88,0.83,LA,2023-10-25
268,urucuca,-14.5931,-39.2844,35.72,35,68,3.3,BR,2023-10-25
269,ocean city,39.2776,-74.5746,21.1,67,85,1.79,US,2023-10-25
270,hotan,37.0997,79.9269,14.47,19,0,1.13,CN,2023-10-25
